ÍNDICE MODELO,HIDDEN_LAYERS_STRUCTURE,r2Score,MSE,LEARNING_RATE_RBM,LEARNING_RATE,N_EPOCHS_RBM,N_ITER_BACKPROP,BATCH_SIZE,ACTIVATION_FUNCTION,DROPOUT_P,CONJUNTO DE TREINO
115,"[60, 60]",0.9917684002554445,3.651267400595411,0.01,0.01,10,200,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
116,"[60, 60]",0.984105567161254,7.0502485878825665,0.01,0.01,20,10,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
117,"[60, 60]",0.9776899785111652,9.89599308720579,0.01,0.01,20,25,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
118,"[60, 60]",0.9790016767036467,9.314166832498078,0.01,0.01,20,50,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
119,"[60, 60]",0.9911490813068234,3.9259769537618134,0.01,0.01,20,100,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
120,"[60, 60]",0.9822589009629833,7.869369086785228,0.01,0.01,20,200,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
121,"[5, 5, 5]",0.9888062304222677,4.965188689596338,0.01,0.01,5,10,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
122,"[5, 5, 5]",0.9850073671774193,6.650239707098646,0.01,0.01,5,25,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
123,"[5, 5, 5]",0.9874326701373193,5.574454937569794,0.01,0.01,5,50,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
124,"[5, 5, 5]",0.9905708680810763,4.182453357775503,0.01,0.01,5,100,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
125,"[5, 5, 5]",0.9917141641875383,3.675324739730917,0.01,0.01,5,200,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
126,"[5, 5, 5]",0.9611315291110207,17.24077762184567,0.01,0.01,10,10,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
127,"[5, 5, 5]",0.9709992192755502,12.863794224328865,0.01,0.01,10,25,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
128,"[5, 5, 5]",0.9892226513519677,4.780478036415576,0.01,0.01,10,50,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
129,"[5, 5, 5]",0.9872348428368409,5.662204633327552,0.01,0.01,10,100,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
130,"[5, 5, 5]",0.983570922230106,7.287399526773306,0.01,0.01,10,200,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
131,"[5, 5, 5]",0.9390297513331162,27.04440063559138,0.01,0.01,20,10,16,sigmoid,0.0,conjuntoDadosRNA_19-09-30_12-09-31_DuracaoSetp_6s_DuracaoSimulacao_120s.csv
