time;PID;CN;Vel. Desejada;A;A²;MSE;%
8,08;1;1,0177;1;-0,0177;0,00031329;;
8,1;1;1,0177;1;-0,0177;0,00031329;;
8,12;1;1,0177;1;-0,0177;0,00031329;;
8,14;1;1,0177;1;-0,0177;0,00031329;;
8,16;1;1,0177;1;-0,0177;0,00031329;;
8,18;1;1,0177;1;-0,0177;0,00031329;;
8,2;1;1,0177;1;-0,0177;0,00031329;;
8,22;1;1,0177;1;-0,0177;0,00031329;;
8,24;1;1,0177;1;-0,0177;0,00031329;;
8,26;1;1,0177;1;-0,0177;0,00031329;;
8,28;1;1,0177;1;-0,0177;0,00031329;;
8,3;1;1,0177;1;-0,0177;0,00031329;;
8,32;1;1,0177;1;-0,0177;0,00031329;;
8,34;1;1,0177;1;-0,0177;0,00031329;;
8,36;1;1,0177;1;-0,0177;0,00031329;;
8,38;1;1,0177;1;-0,0177;0,00031329;;
8,4;1;1,0177;1;-0,0177;0,00031329;;
8,42;1;1,0177;1;-0,0177;0,00031329;;
8,44;1;1,0177;1;-0,0177;0,00031329;;
8,46;1;1,0177;1;-0,0177;0,00031329;;
8,48;1;1,0177;1;-0,0177;0,00031329;;
8,5;1;1,0177;1;-0,0177;0,00031329;;
8,52;1;1,0177;1;-0,0177;0,00031329;;
8,54;1;1,0177;1;-0,0177;0,00031329;;
8,56;1;1,0177;1;-0,0177;0,00031329;;
8,58;1;1,0177;1;-0,0177;0,00031329;;
8,6;1;1,0177;1;-0,0177;0,00031329;;
8,62;1;1,0177;1;-0,0177;0,00031329;;
8,64;1;1,0177;1;-0,0177;0,00031329;;
8,66;1;1,0177;1;-0,0177;0,00031329;;
8,68;1;1,0177;1;-0,0177;0,00031329;;
8,7;1;1,0177;1;-0,0177;0,00031329;;
8,72;1;1,0177;1;-0,0177;0,00031329;;
8,74;1;1,0177;1;-0,0177;0,00031329;;
8,76;1;1,0177;1;-0,0177;0,00031329;;
8,78;1;1,0177;1;-0,0177;0,00031329;;
8,8;1;1,0177;1;-0,0177;0,00031329;;
8,82;1;1,0177;1;-0,0177;0,00031329;;
8,84;1;1,0177;1;-0,0177;0,00031329;;
8,86;1;1,0177;1;-0,0177;0,00031329;;
8,88;1;1,0177;1;-0,0177;0,00031329;;
8,9;1;1,0177;1;-0,0177;0,00031329;;
8,92;1;1,0177;1;-0,0177;0,00031329;;
8,94;1;1,0177;1;-0,0177;0,00031329;;
8,96;1;1,0177;1;-0,0177;0,00031329;;
8,98;1;1,0177;1;-0,0177;0,00031329;;
9;1;1,0177;1;-0,0177;0,00031329;;
9,02;1;1,0177;1;-0,0177;0,00031329;;
9,04;1;1,0177;1;-0,0177;0,00031329;;
9,06;1;1,0177;1;-0,0177;0,00031329;;
9,08;1;1,0177;1;-0,0177;0,00031329;;
9,1;1;1,0177;1;-0,0177;0,00031329;;
9,12;1;1,0177;1;-0,0177;0,00031329;;
9,14;1;1,0177;1;-0,0177;0,00031329;;
9,16;1;1,0177;1;-0,0177;0,00031329;;
9,18;1;1,0177;1;-0,0177;0,00031329;;
9,2;1;1,0177;1;-0,0177;0,00031329;;
9,22;1;1,0177;1;-0,0177;0,00031329;;
9,24;1;1,0177;1;-0,0177;0,00031329;;
9,26;1;1,0177;1;-0,0177;0,00031329;;
9,28;1;1,0177;1;-0,0177;0,00031329;;
9,3;1;1,0177;1;-0,0177;0,00031329;;
9,32;1;1,0177;1;-0,0177;0,00031329;;
9,34;1;1,0177;1;-0,0177;0,00031329;;
9,36;1;1,0177;1;-0,0177;0,00031329;;
9,38;1;1,0177;1;-0,0177;0,00031329;;
9,4;1;1,0177;1;-0,0177;0,00031329;;
9,42;1;1,0177;1;-0,0177;0,00031329;;
9,44;1;1,0177;1;-0,0177;0,00031329;;
9,46;1;1,0177;1;-0,0177;0,00031329;;
9,48;1;1,0177;1;-0,0177;0,00031329;;
9,5;1;1,0177;1;-0,0177;0,00031329;;
9,52;1;1,0177;1;-0,0177;0,00031329;;
9,54;1;1,0177;1;-0,0177;0,00031329;;
9,56;1;1,0177;1;-0,0177;0,00031329;;
9,58;1;1,0177;1;-0,0177;0,00031329;;
9,6;1;1,0177;1;-0,0177;0,00031329;;
9,62;1;1,0177;1;-0,0177;0,00031329;;
9,64;1;1,0177;1;-0,0177;0,00031329;;
