time;RNA;PID;A;A²;;%;
5,38;10,18793999;10,01;0,17793999;0,03166264;;;
5,4;10,18792596;10,01;0,17792596;0,031657647;;;
5,42;10,18789791;10,01;0,17789791;0,031647666;;;
5,44;10,18788388;10,01;0,17788388;0,031642675;;;
5,46;10,18786986;10,01;0,17786986;0,031637687;;;
5,48;10,18785583;10,01;0,17785583;0,031632696;;;
5,5;10,18784181;10,01;0,17784181;0,031627709;;;
5,52;10,18781375;10,01;0,17781375;0,03161773;;;
5,54;10,18779973;10,01;0,17779973;0,031612744;;;
5,56;10,1877857;10,01;0,1777857;0,031607755;;;
5,58;10,18777168;10,01;0,17777168;0,03160277;;;
5,6;10,18775765;10,01;0,17775765;0,031597782;;;
5,62;10,18774363;10,01;0,17774363;0,031592798;;;
5,64;10,1877296;10,01;0,1777296;0,031587811;;;
5,66;10,18771558;10,011;0,17671558;0,031228396;;;
5,68;10,18770156;10,011;0,17670156;0,031223441;;;
5,7;10,18768753;10,011;0,17668753;0,031218483;;;
5,72;10,18767351;10,011;0,17667351;0,031213529;;;
5,74;10,18767351;10,011;0,17667351;0,031213529;;;
5,76;10,18765948;10,011;0,17665948;0,031208572;;;
5,78;10,18764546;10,011;0,17664546;0,031203619;;;
5,8;10,18763143;10,011;0,17663143;0,031198662;;;
5,82;10,18761741;10,011;0,17661741;0,03119371;;;
5,84;10,18761741;10,011;0,17661741;0,03119371;;;
5,86;10,18760339;10,011;0,17660339;0,031188757;;;
5,88;10,18758936;10,011;0,17658936;0,031183802;;;
5,9;10,18758936;10,011;0,17658936;0,031183802;;;
5,92;10,18757534;10,011;0,17657534;0,031178851;;;
5,94;10,18756132;10,011;0,17656132;0,0311739;;;
5,96;10,18756132;10,011;0,17656132;0,0311739;;;
5,98;10,18754729;10,011;0,17654729;0,031168946;;;
6;10,18754729;10,011;0,17654729;0,031168946;;;
6,02;10,18753327;10,011;0,17653327;0,031163995;;;
6,04;10,18753327;10,011;0,17653327;0,031163995;;;
6,06;10,18751925;10,011;0,17651925;0,031159046;;;
6,08;10,18751925;10,011;0,17651925;0,031159046;;;
6,1;10,18750522;10,011;0,17650522;0,031154093;;;
6,12;10,18750522;10,011;0,17650522;0,031154093;;;
6,14;10,1874912;10,011;0,1764912;0,031149144;;;
6,16;10,1874912;10,011;0,1764912;0,031149144;;;
6,18;10,18747718;10,011;0,17647718;0,031144195;;;
6,2;10,18747718;10,011;0,17647718;0,031144195;;;
6,22;10,18747718;10,011;0,17647718;0,031144195;;;
6,24;10,18746316;10,011;0,17646316;0,031139247;;;
6,26;10,18746316;10,011;0,17646316;0,031139247;;;
6,28;10,18746316;10,011;0,17646316;0,031139247;;;
6,3;10,18744913;10,011;0,17644913;0,031134295;;;
6,32;10,18744913;10,011;0,17644913;0,031134295;;;
6,34;10,18744913;10,01;0,17744913;0,031488194;;;
6,36;10,18744913;10,01;0,17744913;0,031488194;;;
6,38;10,18743511;10,01;0,17743511;0,031483218;;;
6,4;10,18743511;10,01;0,17743511;0,031483218;;;
6,42;10,18743511;10,01;0,17743511;0,031483218;;;
6,44;10,18743511;10,01;0,17743511;0,031483218;;;
6,46;10,18743511;10,01;0,17743511;0,031483218;;;
6,48;10,18742109;10,01;0,17742109;0,031478243;;;
6,5;10,18742109;10,01;0,17742109;0,031478243;;;
6,52;10,18742109;10,01;0,17742109;0,031478243;;;
6,54;10,18742109;10,01;0,17742109;0,031478243;;;
6,56;10,18742109;10,01;0,17742109;0,031478243;;;
6,58;10,18742109;10,01;0,17742109;0,031478243;;;
6,6;10,18742109;10,01;0,17742109;0,031478243;;;
6,62;10,18740707;10,01;0,17740707;0,031473268;;;
6,64;10,18740707;10,01;0,17740707;0,031473268;;;
6,66;10,18740707;10,01;0,17740707;0,031473268;;;
6,68;10,18740707;10,01;0,17740707;0,031473268;;;
6,7;10,18740707;10,01;0,17740707;0,031473268;;;
6,72;10,18740707;10,01;0,17740707;0,031473268;;;
6,74;10,18740707;10,01;0,17740707;0,031473268;;;
6,76;10,18740707;10,01;0,17740707;0,031473268;;;
6,78;10,18740707;10,01;0,17740707;0,031473268;;;
6,8;10,18740707;10,01;0,17740707;0,031473268;;;
6,82;10,18740707;10,01;0,17740707;0,031473268;;;
6,84;10,18740707;10,01;0,17740707;0,031473268;;;
6,86;10,18740707;10,01;0,17740707;0,031473268;;;
6,88;10,18740707;10,01;0,17740707;0,031473268;;;
6,9;10,18740707;10,01;0,17740707;0,031473268;;;
6,92;10,18740707;10,01;0,17740707;0,031473268;;;
6,94;10,18740707;10,01;0,17740707;0,031473268;;;
6,96;10,18740707;10,01;0,17740707;0,031473268;;;
6,98;10,18740707;10,01;0,17740707;0,031473268;;;
7;10,18740707;10,01;0,17740707;0,031473268;;;
7,02;10,18740707;10,01;0,17740707;0,031473268;;;
7,04;10,18740707;10,01;0,17740707;0,031473268;;;
7,06;10,18740707;10,01;0,17740707;0,031473268;;;
7,08;10,18740707;10,01;0,17740707;0,031473268;;;
7,1;10,18740707;10,01;0,17740707;0,031473268;;;
7,12;10,18740707;10,01;0,17740707;0,031473268;;;
7,14;10,18740707;10,01;0,17740707;0,031473268;;;
7,16;10,18740707;10,01;0,17740707;0,031473268;;;
