,time,set point,output,process,set point test,output test,process test
187,93.5,0.0,0.44277009547,1.6492741286,0.0,0.55625410041,0.38540032631
188,94.0,0.0,0.46929011623,1.5883958832,0.0,0.55237525345,0.38073711356
189,94.5,0.0,0.49446087927,1.5298815346,0.0,0.54840963481,0.37623852114
190,95.0,0.0,0.51821363806,1.4737185717,0.0,0.54436742946,0.37189318223
191,95.5,0.0,0.54049850005,1.4198828059,0.0,0.54025818324,0.36769044685
192,96.0,0.0,0.56128233426,1.3683399713,0.0,0.5360908266,0.36362035113
193,96.5,0.0,0.5805468394,1.3190471856,0.0,0.53187369896,0.35967358644
194,97.0,0.0,0.59828676423,1.2719542812,0.0,0.52761457348,0.35584146852
195,97.5,0.0,0.6145082718,1.2270050126,0.0,0.52332068203,0.352115907
196,98.0,0.0,0.62922743985,1.1841381512,0.0,0.51899874026,0.34848937522
197,98.5,0.0,0.64246888915,1.1432884715,0.0,0.51465497245,0.34495488066
198,99.0,0.0,0.65426453239,1.1043876397,0.0,0.51029513617,0.34150593596
199,99.5,0.0,0.66465243599,1.0673650086,0.0,0.5059245465,0.33813653075
200,100.0,0.0,0.67367578776,1.0321483276,0.0,0.50154809985,0.33484110425
