,time,set point,output,process,set point test,output test,process test
230,"4,59999999999999",2,"20,02",2,3,"29,802","3,0054"
231,"4,61999999999999",2,"20,02",2,3,"29,832","3,0036"
232,"4,63999999999999",2,"20,02",2,3,"29,861","3,0021"
233,"4,65999999999999",2,"20,02",2,3,"29,887","3,0008"
234,"4,67999999999999",2,"20,02",2,3,"29,91","2,9996"
235,"4,69999999999999",2,"20,02",2,3,"29,932","2,9986"
236,"4,71999999999999",2,"20,02",2,3,"29,952","2,9978"
237,"4,73999999999999",2,"20,02",2,3,"29,97","2,9971"
238,"4,75999999999999",2,"20,02",2,3,"29,986","2,9966"
239,"4,77999999999999",2,"20,02",2,3,"30,001","2,9962"
240,"4,79999999999999",2,"20,02",2,3,"30,013","2,9958"
241,"4,81999999999999",2,"20,02",2,3,"30,025","2,9956"
242,"4,83999999999999",2,"20,02",2,3,"30,035","2,9954"
243,"4,85999999999998",2,"20,02",2,3,"30,043","2,9954"
244,"4,87999999999998",2,"20,02",2,3,"30,051","2,9953"
245,"4,89999999999998",2,"20,02",2,3,"30,057","2,9954"
246,"4,91999999999998",2,"20,02",2,3,"30,062","2,9955"
247,"4,93999999999998",2,"20,02",2,3,"30,067","2,9956"
248,"4,95999999999998",2,"20,02",2,3,"30,07","2,9957"
249,"4,97999999999998",2,"20,02",2,3,"30,073","2,9959"
250,"4,99999999999998",2,"20,02",2,5,"62,137","2,9959"
251,"5,01999999999998",2,"20,02",2,5,"63,933","2,9959"
252,"5,03999999999998",2,"20,02",2,5,"65,362","3,008"
253,"5,05999999999998",2,"20,02",2,5,"66,461","3,0409"
254,"5,07999999999998",2,"20,02",2,5,"67,266","3,0911"
255,"5,09999999999998",2,"20,02",2,5,"67,81","3,1555"
256,"5,11999999999998",2,"20,02",2,5,"68,124","3,2312"
257,"5,13999999999998",2,"20,02",2,5,"68,236","3,3158"
258,"5,15999999999998",2,"20,02",2,5,"68,173","3,407"
259,"5,17999999999998",2,"20,02",2,5,"67,957","3,5031"
260,"5,19999999999998",2,"20,02",2,5,"67,612","3,6021"
261,"5,21999999999998",2,"20,02",2,5,"67,158","3,7028"
262,"5,23999999999998",2,"20,02",2,5,"66,612","3,8039"
263,"5,25999999999998",2,"20,02",2,5,"65,992","3,9042"
264,"5,27999999999998",2,"20,02",2,5,"65,313","4,0028"
265,"5,29999999999998",2,"20,02",2,5,"64,589","4,099"
266,"5,31999999999997",2,"20,02",2,5,"63,831","4,1922"
267,"5,33999999999997",2,"20,02",2,5,"63,05","4,2819"
268,"5,35999999999997",2,"20,02",2,5,"62,256","4,3676"
269,"5,37999999999997",2,"20,02",2,5,"61,458","4,449"
270,"5,39999999999997",2,"20,02",2,5,"60,663","4,5259"
271,"5,41999999999997",2,"20,02",2,5,"59,877","4,5981"
272,"5,43999999999997",2,"20,02",2,5,"59,106","4,6656"
273,"5,45999999999997",2,"20,02",2,5,"58,354","4,7283"
274,"5,47999999999997",2,"20,02",2,5,"57,625","4,7863"
275,"5,49999999999997",2,"20,02",2,5,"56,924","4,8396"
276,"5,51999999999997",2,"20,02",2,5,"56,251","4,8883"
277,"5,53999999999997",2,"20,02",2,5,"55,609","4,9325"
278,"5,55999999999997",2,"20,02",2,5,55,"4,9724"
279,"5,57999999999997",2,"20,02",2,5,"54,425","5,0082"
280,"5,59999999999997",2,"20,02",2,5,"53,884","5,04"
281,"5,61999999999997",2,"20,02",2,5,"53,377","5,068"
282,"5,63999999999997",2,"20,02",2,5,"52,905","5,0925"
283,"5,65999999999997",2,"20,02",2,5,"52,467","5,1136"
284,"5,67999999999997",2,"20,02",2,5,"52,062","5,1316"
285,"5,69999999999997",2,"20,02",2,5,"51,69","5,1467"
286,"5,71999999999997",2,"20,02",2,5,"51,35","5,1591"
287,"5,73999999999997",2,"20,02",2,5,"51,04","5,169"
288,"5,75999999999997",2,"20,02",2,5,"50,76","5,1767"
289,"5,77999999999997",2,"20,02",2,5,"50,507","5,1822"
290,"5,79999999999996",2,"20,02",2,5,"50,282","5,1859"
291,"5,81999999999996",2,"20,02",2,5,"50,081","5,1879"
292,"5,83999999999996",2,"20,02",2,5,"49,905","5,1883"
293,"5,85999999999996",2,"20,02",2,5,"49,75","5,1875"
294,"5,87999999999996",2,"20,02",2,5,"49,617","5,1854"
295,"5,89999999999996",2,"20,02",2,5,"49,503","5,1823"
296,"5,91999999999996",2,"20,02",2,5,"49,406","5,1783"
297,"5,93999999999996",2,"20,02",2,5,"49,327","5,1735"
